, subjectID,block, pixl_dist1, pixl_sd1, seqfoil1, rep1, rep_num1, speed1, sspa1
70,5be4c8d0d4079000014c0998,1,51.347,25.339, seq, False,0,1.742,100.0
71,62f406ea9d51a0dd13658afd,1,17.402,11.409, seq, False,0,1.742,100.0
72,6646310f95427e27d874414b,1,26.6,17.212, seq, False,0,2.0,88.333
73,663c37d4a162d42f23f11962,1,29.864,15.774, foil, False,0,2.0,93.333
74,662f21f00be51257edfb1ddb,1,21.853,12.637, seq, False,0,1.742,100.0
75,6646c398346d757befa4da92,1,45.871,30.771, seq, False,0,2.245,70.0
76,5e0814cf271305166c3411b2,1,33.469,20.264, seq, False,0,2.058,85.0
77,651061eb308bdedb93bfa665,1,26.973,16.093, seq, False,0,1.742,100.0
78,6643bcb28688adcbd2b753a4,1,22.943,17.921, seq, False,0,2.316,81.667
79,664e490f1e28e1032140987b,1,22.839,26.51, seq, False,0,1.894,93.333
80,664e4f2f3784a7da5171bd87,1,13.955,9.501, seq, False,0,1.84,96.667
81,604b268c129561a99989843b,1,20.025,9.283, seq, False,0,1.742,100.0
82,610902c41730d2e9f777d3bd,1,22.011,31.96, seq, False,0,1.842,93.333
83,66393f7fa489dc788f35845b,1,17.622,12.935, seq, False,0,1.766,98.333
84,6604545f6bedae45cd98210a,1,37.042,29.561, foil, False,0,2.121,86.667
85,650900b6bd15c0358fb77d66,1,23.792,17.35, seq, False,0,1.742,100.0
86,5c71a951d30a7c0001729541,1,17.357,16.464, seq, False,0,1.742,100.0
87,65afe752c7c336dcf6ca0739,1,34.605,33.355, seq, False,0,2.026,93.333
88,6108a7ad8389c7633a4edfc8,1,29.816,20.249, seq, False,0,2.126,83.333
89,5e1508eb18e869b078576e94,1,29.887,24.769, seq, False,0,1.892,90.0
90,5bdf5d0d14b3cd00019d99a3,1,16.828,14.814, seq, False,0,1.742,100.0
91,664788ad8428933f4bd03307,1,28.251,22.994, seq, False,0,1.944,91.667
92,65e033591f7a113b3e710126,1,16.392,18.373, foil, False,0,2.319,65.0
93,5f12749ec1ac141c20bf38ab,1,28.852,20.678, seq, False,0,1.742,100.0
94,664404918c520f0b592be0df,1,33.628,22.288, seq, False,0,1.742,100.0
95,6646499481cfd3610cad3324,1,36.798,29.429, seq, False,0,2.149,75.0
96,6650f5a68ae2bdbdf89d1fc0,1,15.747,11.764, foil, False,0,1.742,100.0
97,661412c46baab549f64e6f6c,1,44.258,19.557, foil, False,0,1.742,100.0
98,630e44de99a2967145ab5ec7,1,53.693,48.751, seq, False,0,1.944,91.667
99,60b2eb47f246e88dfc7df60a,1,35.63,32.527, seq, False,0,2.181,78.333
100,6091448b2ddfafebfc8b83b3,1,23.278,18.833, seq, False,0,2.054,91.667
101,66477ac3eb28c24f9eb87e44,1,16.609,18.171, foil, False,0,1.838,96.667
102,5715699a30185b0008b40009,1,32.472,14.768, foil, False,0,2.178,83.333
103,663fd38539df6ec6f060ef3a,1,14.265,12.556, seq, False,0,1.944,95.0
104,60e2600a329d5ebfcb54b413,1,28.671,21.033, seq, False,0,2.002,91.667
105,6644098276581c21371eec7c,1,15.762,14.58, seq, False,0,1.742,100.0
106,6644313006cdb8a9d84bdff0,1,26.342,10.791, seq, False,0,1.742,100.0
